"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1CASF0014","2018-01-08","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  239",",,N",,,,
"US1CASF0014","2018-01-09","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  770",",,N",,,,
"US1CASF0014","2018-01-11","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","    5",",,N",,,,
"US1CASF0014","2018-01-25","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  117",",,N",,,,
"US1CASF0014","2018-02-26","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   41",",,N",,,,
"US1CASF0014","2018-02-27","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   13",",,N",,,,
"US1CASF0014","2018-03-01","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  203",",,N",,,,
"US1CASF0014","2018-03-02","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  117",",,N",,,,
"US1CASF0014","2018-03-03","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   48",",,N",,,,
"US1CASF0014","2018-03-04","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   25",",,N",,,,
"US1CASF0014","2018-03-10","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","    0","T,,N",,,,
"US1CASF0014","2018-03-11","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","    8",",,N",,,,
"US1CASF0014","2018-03-13","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  104",",,N",,,,
"US1CASF0014","2018-03-14","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   53",",,N",,,,
"US1CASF0014","2018-03-15","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   48",",,N",,,,
"US1CASF0014","2018-03-16","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  104",",,N",,,,
"US1CASF0014","2018-03-17","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   53",",,N",,,,
"US1CASF0014","2018-03-20","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   13",",,N",,,,
"US1CASF0014","2018-03-21","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  231",",,N",,,,
"US1CASF0014","2018-03-22","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","  117",",,N",,,,
"US1CASF0014","2018-03-23","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","   20",",,N",,,,
"US1CASF0014","2018-03-25","37.759816","-122.506523","11.6","SAN FRANCISCO 4.9 WSW, CA US","    8",",,N",,,,
