"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1CASF0020","2021-01-18","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0","T,,N",,,,,,,,
"US1CASF0020","2021-01-19","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N",,,,,,,,
"US1CASF0020","2021-01-20","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N",,,,,,,,
"US1CASF0020","2021-01-21","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0","T,,N",,,,,,,,
"US1CASF0020","2021-01-22","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","   23",",,N",,,,,,,,
"US1CASF0020","2021-01-23","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    8",",,N",,,,,,,,
"US1CASF0020","2021-01-24","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N",,,,,,,,
"US1CASF0020","2021-01-25","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","   20",",,N",,,,,,,,
"US1CASF0020","2021-01-26","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-01-27","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","  267",",,N",,,,,,,,
"US1CASF0020","2021-01-28","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","  193",",,N",,,,,,,,
"US1CASF0020","2021-01-29","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","  117",",,N",,,,,,,,
"US1CASF0020","2021-01-30","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0","T,,N",,,,,,,,
"US1CASF0020","2021-01-31","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-01","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0","T,,N",,,,,,,,
"US1CASF0020","2021-02-02","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","  122",",,N",,,,,,,,
"US1CASF0020","2021-02-03","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-04","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-05","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-06","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-07","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-08","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-09","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-11","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-12","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","  127",",,N",,,,,,,,
"US1CASF0020","2021-02-13","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","   18",",,N",,,,,,,,
"US1CASF0020","2021-02-14","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-15","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","   81",",,N",,,,,,,,
"US1CASF0020","2021-02-16","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","   36",",,N",,,,,,,,
"US1CASF0020","2021-02-17","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
"US1CASF0020","2021-02-18","37.77812","-122.476323","50.6","SAN FRANCISCO 3.1 W, CA US","    0",",,N","    0",",,N",,,,,,
