"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1CASF0021","2021-08-30","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0","T,,N",,
"US1CASF0021","2021-08-31","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0","T,,N",,
"US1CASF0021","2021-09-01","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-03","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-04","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0","T,,N",,
"US1CASF0021","2021-09-05","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0","T,,N",,
"US1CASF0021","2021-09-06","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0","T,,N",,
"US1CASF0021","2021-09-07","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0","T,,N",,
"US1CASF0021","2021-09-08","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-10","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    5",",,N",,
"US1CASF0021","2021-09-11","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-12","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-13","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-14","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-15","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-16","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-17","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-18","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-19","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    5",",,N","    0",",,N"
"US1CASF0021","2021-09-20","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-22","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-23","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-25","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-26","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-27","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-28","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    5",",,N",,
"US1CASF0021","2021-09-29","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
"US1CASF0021","2021-09-30","37.7272106","-122.4095981","43.0","SAN FRANCISCO 3.4 S, CA US","    0",",,N","    0",",,N"
