"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1CASF0017","1998-10-09","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    0",",,N","    0",",,N",,,,
"US1CASF0017","1998-10-10","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    0",",,N","    0",",,N",,,,
"US1CASF0017","1998-10-11","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    0",",,N","    0",",,N",,,,
"US1CASF0017","2019-09-16","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   18",",,N",,,,,,
"US1CASF0017","2019-09-18","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    5",",,N",,,,,,
"US1CASF0017","2019-09-27","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    8",",,N",,,,,,
"US1CASF0017","2019-10-17","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    3",",,N",,,,,,
"US1CASF0017","2019-11-14","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    3",",,N",,,,,,
"US1CASF0017","2019-11-27","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","  272",",,N",,,,,,
"US1CASF0017","2019-11-28","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   46",",,N",,,,,,
"US1CASF0017","2019-12-02","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US",,,,,"    4",",,N","  145",",,N"
"US1CASF0017","2019-12-03","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   51",",,N",,,,,,
"US1CASF0017","2019-12-04","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   58",",,N",,,,,,
"US1CASF0017","2019-12-05","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    8",",,N",,,,,,
"US1CASF0017","2019-12-06","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    0","T,,N",,,,,,
"US1CASF0017","2019-12-07","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","  117",",,N",,,,,,
"US1CASF0017","2019-12-08","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","  216",",,N",,,,,,
"US1CASF0017","2019-12-09","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    3",",,N",,,,,,
"US1CASF0017","2019-12-10","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    3",",,N",,,,,,
"US1CASF0017","2019-12-11","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   58",",,N",,,,,,
"US1CASF0017","2019-12-12","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   36",",,N",,,,,,
"US1CASF0017","2019-12-13","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   13",",,N",,,,,,
"US1CASF0017","2019-12-14","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","   18",",,N",,,,,,
"US1CASF0017","2019-12-15","37.75901","-122.3975","65.5","SAN FRANCISCO 1.6 SE, CA US","    8",",,N",,,,,,
